state,region,year,total_damages_cr,crops_damage_cr,houses_damage_cr,public_util_damage_cr
Bihar,Indo_Gangetic_Plain,1976,205.99,94.64,30.04,
Bihar,Indo_Gangetic_Plain,1977,12.29,11.79,0.45,
Bihar,Indo_Gangetic_Plain,1978,178.86,94.6,9.12,
Bihar,Indo_Gangetic_Plain,1979,20.19,19.02,1.03,
Bihar,Indo_Gangetic_Plain,1980,57.73,0.0,3.72,
Bihar,Indo_Gangetic_Plain,1981,79.08,72.13,3.96,
Bihar,Indo_Gangetic_Plain,1982,113.42,97.0,6.87,
Bihar,Indo_Gangetic_Plain,1983,26.29,23.43,1.18,
Bihar,Indo_Gangetic_Plain,1984,235.53,185.44,22.92,
Bihar,Indo_Gangetic_Plain,1985,36.54,30.34,4.33,
Bihar,Indo_Gangetic_Plain,1986,308.05,103.66,4.39,
Bihar,Indo_Gangetic_Plain,1987,1209.61,501.32,217.74,
Bihar,Indo_Gangetic_Plain,1988,53.49,49.87,2.11,
Bihar,Indo_Gangetic_Plain,1989,9.5,7.05,1.61,
Bihar,Indo_Gangetic_Plain,1990,21.59,18.17,1.6,
Bihar,Indo_Gangetic_Plain,1991,31.15,23.61,6.14,
Bihar,Indo_Gangetic_Plain,1992,0.75,0.58,0.16,
Bihar,Indo_Gangetic_Plain,1993,73.01,66.83,5.74,
Bihar,Indo_Gangetic_Plain,1994,48.56,45.07,2.18,
Bihar,Indo_Gangetic_Plain,1995,292.08,195.14,75.1,
Bihar,Indo_Gangetic_Plain,1996,92.78,70.32,14.01,
Bihar,Indo_Gangetic_Plain,1997,108.33,57.38,30.57,
Bihar,Indo_Gangetic_Plain,1998,514.84,366.97,55.04,
Bihar,Indo_Gangetic_Plain,1999,349.99,242.04,53.85,
Bihar,Indo_Gangetic_Plain,2000,252.64,75.53,148.56,
Bihar,Indo_Gangetic_Plain,2001,624.34,267.22,173.58,
Bihar,Indo_Gangetic_Plain,2002,1446.63,511.5,526.22,
Bihar,Indo_Gangetic_Plain,2003,1118.14,62.66,20.32,
Bihar,Indo_Gangetic_Plain,2004,2310.65,522.06,758.1,
Bihar,Indo_Gangetic_Plain,2005,18.52,11.64,3.83,
Bihar,Indo_Gangetic_Plain,2006,103.88,7.06,12.26,
Bihar,Indo_Gangetic_Plain,2007,2242.24,768.38,831.45,
Bihar,Indo_Gangetic_Plain,2008,216.42,34.2,84.51,
Bihar,Indo_Gangetic_Plain,2009,32.41,21.83,5.28,
Bihar,Indo_Gangetic_Plain,2010,11.76,3.12,7.05,
Bihar,Indo_Gangetic_Plain,2011,103.45,59.87,17.79,
Bihar,Indo_Gangetic_Plain,2012,4.57,1.64,1.31,
Bihar,Indo_Gangetic_Plain,2013,146.35,105.72,24.02,
Bihar,Indo_Gangetic_Plain,2014,192.58,176.4,10.78,
Bihar,Indo_Gangetic_Plain,2015,62.69,,0.69,
Bihar,Indo_Gangetic_Plain,2016,528.76,443.53,44.26,
Bihar,Indo_Gangetic_Plain,2017,0.0,0.0,0.0,
Bihar,Indo_Gangetic_Plain,2018,5.56,5.14,0.41,
Bihar,Indo_Gangetic_Plain,2019,,,,
Bihar,Indo_Gangetic_Plain,2020,810.19,727.88,11.7,
Bihar,Indo_Gangetic_Plain,2021,6444.86,929.6,10.24,
Bihar,Indo_Gangetic_Plain,2022,,,,
Bihar,Indo_Gangetic_Plain,2023,3.57,0.0,0.88,2.69
Chattisgarh,Central_India,1953,,,,
Chattisgarh,Central_India,1954,,,,
Chattisgarh,Central_India,1955,,,,
Chattisgarh,Central_India,1956,,,,
Chattisgarh,Central_India,1957,,,,
Chattisgarh,Central_India,1958,,,,
Chattisgarh,Central_India,1959,,,,
Chattisgarh,Central_India,1960,,,,
Chattisgarh,Central_India,1961,,,,
Chattisgarh,Central_India,1962,,,,
Chattisgarh,Central_India,1963,,,,
Chattisgarh,Central_India,1964,,,,
Chattisgarh,Central_India,1965,,,,
Chattisgarh,Central_India,1966,,,,
Chattisgarh,Central_India,1967,,,,
Chattisgarh,Central_India,1968,,,,
Chattisgarh,Central_India,1969,,,,
Chattisgarh,Central_India,1970,,,,
Chattisgarh,Central_India,1971,,,,
Chattisgarh,Central_India,1972,,,,
Chattisgarh,Central_India,1973,,,,
Chattisgarh,Central_India,1974,,,,
Chattisgarh,Central_India,1975,,,,
Chattisgarh,Central_India,1976,,,,
Chattisgarh,Central_India,1977,,,,
Chattisgarh,Central_India,1978,,,,
Chattisgarh,Central_India,1979,,,,
Chattisgarh,Central_India,1980,,,,
Chattisgarh,Central_India,1981,,,,
Chattisgarh,Central_India,1982,,,,
Chattisgarh,Central_India,1983,,,,
Chattisgarh,Central_India,1984,,,,
Chattisgarh,Central_India,1985,,,,
Chattisgarh,Central_India,1986,,,,
Chattisgarh,Central_India,1987,,,,
Chattisgarh,Central_India,1988,,,,
Chattisgarh,Central_India,1989,,,,
Chattisgarh,Central_India,1990,,,,
Chattisgarh,Central_India,1991,,,,
Chattisgarh,Central_India,1992,,,,
Chattisgarh,Central_India,1993,,,,
Chattisgarh,Central_India,1994,,,,
Chattisgarh,Central_India,1995,,,,
Chattisgarh,Central_India,1996,,,,
Chattisgarh,Central_India,1997,,,,
Chattisgarh,Central_India,1998,,,,
Chattisgarh,Central_India,1999,,,,
Chattisgarh,Central_India,2000,,,,
Chattisgarh,Central_India,2001,231.37,50.74,12.68,167.95
Chattisgarh,Central_India,2002,0.0,0.0,0.0,0.0
Chattisgarh,Central_India,2003,20.98,2.31,13.88,4.79
Chattisgarh,Central_India,2004,9.9,3.37,3.23,3.3
Chattisgarh,Central_India,2005,28.96,4.54,4.7,19.72
Chattisgarh,Central_India,2006,118.45,29.45,27.72,61.28
Chattisgarh,Central_India,2007,71.16,12.15,22.62,36.39
Chattisgarh,Central_India,2008,56.03,12.24,24.5,19.29
Chattisgarh,Central_India,2009,0.0,,,
Chattisgarh,Central_India,2010,0.0,,,
Chattisgarh,Central_India,2011,62.06,3.79,4.49,53.78
Chattisgarh,Central_India,2012,0.0,0.0,0.0,0.0
Chattisgarh,Central_India,2013,0.0,0.0,0.0,0.0
Chattisgarh,Central_India,2014,0.0,0.0,0.0,0.0
Chattisgarh,Central_India,2015,0.0,,,
Chattisgarh,Central_India,2016,0.0,,,
Chattisgarh,Central_India,2017,0.0,0.0,0.0,0.0
Chattisgarh,Central_India,2018,41.69,12.25,4.14,25.3
Chattisgarh,Central_India,2019,,,,
Chattisgarh,Central_India,2020,31.34,3.66,15.3,12.38
Chattisgarh,Central_India,2021,1.24,0.12,1.12,0.0
Chattisgarh,Central_India,2022,,,,
Chattisgarh,Central_India,2023,,,,
Goa,Western_Ghats,1953,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1954,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1955,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1956,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1957,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1958,0.0,0.0,0.0,0.0
