region,year,PR_gev_pooled
Central_India,1998,1.3947696226312294
Central_India,1999,1.563931267433432
Central_India,2000,2.05385081773479
Central_India,2001,1.598344858571676
Central_India,2002,2.0895554005128982
Central_India,2003,2.154894655521346
Central_India,2004,1.8834079575971336
Central_India,2005,1.2237590316884828
Central_India,2006,1.3763032020053074
Central_India,2007,1.0016669733293324
Central_India,2008,0.8665672542903169
Central_India,2009,0.8363675641964775
Central_India,2010,1.1063958081947574
Central_India,2011,0.8548835282664258
Central_India,2012,0.8302077776065605
Central_India,2013,1.05614789527897
Central_India,2014,0.910692639795951
Indo_Gangetic_Plain,1860,1.8860912117736766
Indo_Gangetic_Plain,1861,1.4819561838994508
Indo_Gangetic_Plain,1862,1.1807284226533827
Indo_Gangetic_Plain,1863,1.1764037750831522
Indo_Gangetic_Plain,1864,1.553441897729366
Indo_Gangetic_Plain,1865,1.404896155522659
Indo_Gangetic_Plain,1866,1.5777947166657529
Indo_Gangetic_Plain,1867,2.1133892975893653
Indo_Gangetic_Plain,1868,2.5924349904487216
Indo_Gangetic_Plain,1869,1.1606196388097891
Indo_Gangetic_Plain,1870,0.8711868275143823
Indo_Gangetic_Plain,1871,0.7474552421410976
Indo_Gangetic_Plain,1872,0.8276962315989582
Indo_Gangetic_Plain,1873,0.840534765306112
Indo_Gangetic_Plain,1874,1.0016213443732174
Indo_Gangetic_Plain,1875,1.0713867491138391
Indo_Gangetic_Plain,1876,1.0447505271286923
Indo_Gangetic_Plain,1877,0.994599110066079
Indo_Gangetic_Plain,1878,0.8425943137267514
Indo_Gangetic_Plain,1879,0.9041963282717974
Indo_Gangetic_Plain,1880,1.0390040199567065
Indo_Gangetic_Plain,1881,0.9911662929909901
