state,year,rx5day_mm
Karnataka,2014,122.00355530734933
Karnataka,2015,101.1640191764364
Karnataka,2016,132.3560386311936
Karnataka,2017,128.94467393451802
Karnataka,2018,127.86413439973461
Karnataka,2019,131.40034943561892
Karnataka,2020,141.1674033658603
Kerala,2000,228.45154588072236
Kerala,2001,191.39323549182575
Kerala,2002,158.77363615905074
Kerala,2003,223.66142834051215
Kerala,2004,201.33921367717238
Kerala,2005,194.76891929966433
Kerala,2006,192.61080924960226
Kerala,2007,292.94148405389774
Kerala,2008,184.61967414050443
Kerala,2009,234.18086935783762
Kerala,2010,256.0477428857412
Kerala,2011,230.37197341214505
Kerala,2012,195.71678186889062
Kerala,2013,242.36029749977112
Kerala,2014,193.30736863799766
Kerala,2015,154.89718449599098
Kerala,2016,155.34724554370467
Kerala,2017,184.60852717243012
Kerala,2018,309.11969313588975
Kerala,2019,265.6852776608951
Kerala,2020,250.66534918773993
Madhya Pradesh,2000,172.99012053536194
Madhya Pradesh,2001,186.604063845593
Madhya Pradesh,2002,172.9631441997341
Madhya Pradesh,2003,169.9646568706951
Madhya Pradesh,2004,175.21117043697518
Madhya Pradesh,2005,246.85009076760568
Madhya Pradesh,2006,194.04142578466588
Madhya Pradesh,2007,211.55519678903403
Madhya Pradesh,2008,204.02225259542632
Madhya Pradesh,2009,165.62004359038937
Madhya Pradesh,2010,121.39732571305298
Madhya Pradesh,2011,225.4200571640199
Madhya Pradesh,2012,218.90638575887914
Madhya Pradesh,2013,204.92762451595365
Madhya Pradesh,2014,172.98701398845904
Madhya Pradesh,2015,179.0258000762896
Madhya Pradesh,2016,261.57360924890907
Madhya Pradesh,2017,146.20077429671284
Madhya Pradesh,2018,159.0808884087678
Madhya Pradesh,2019,218.1835412017096
Madhya Pradesh,2020,177.10178051609978
Maharashtra,2000,203.01493980925497
Maharashtra,2001,159.52026639189572
Maharashtra,2002,249.07244447016927
Maharashtra,2003,152.3107889727935
Maharashtra,2004,192.1749625627829
Maharashtra,2005,198.26073400878474
Maharashtra,2006,260.670711017845
Maharashtra,2007,209.48969477803834
Maharashtra,2008,192.41077622638983
Maharashtra,2009,215.9261217172954
Maharashtra,2010,207.0140542808066
Maharashtra,2011,149.88948473055038
Maharashtra,2012,140.08358518949962
Maharashtra,2013,224.18338520402472
Maharashtra,2014,202.3699120016087
Maharashtra,2015,185.5507890320437
Maharashtra,2016,224.66508918549366
Maharashtra,2017,157.93182954933962
Maharashtra,2018,179.98088388923065
Maharashtra,2019,226.6114482135767
Maharashtra,2020,174.07375856556826
Meghalaya,2000,219.99168763660697
Meghalaya,2001,254.3359316900497
Meghalaya,2002,306.6914879645204
Meghalaya,2003,286.0351320662589
Meghalaya,2004,395.68818800006164
Meghalaya,2005,218.09123354580538
Meghalaya,2006,201.47000506489854
Meghalaya,2007,400.5173066761927
Meghalaya,2008,210.9655869705479
Meghalaya,2009,298.64245405353483
Meghalaya,2010,286.97297198846917
Meghalaya,2011,240.79273567235103
Meghalaya,2012,299.5193545350046
Meghalaya,2013,167.1785977402229
Meghalaya,2014,363.2812638829966
Meghalaya,2015,376.9854438562272
Meghalaya,2016,253.44567451984423
Meghalaya,2017,327.38607885311745
Meghalaya,2018,200.72087539639813
Meghalaya,2019,276.5847990706798
Meghalaya,2020,252.4383751880706
NCT of Delhi,2000,105.59648401596968
NCT of Delhi,2001,126.42720570283778
NCT of Delhi,2002,95.16424698635464
NCT of Delhi,2003,106.65348215232608
NCT of Delhi,2004,94.00111333924721
NCT of Delhi,2005,117.86634978557606
NCT of Delhi,2006,150.58091797979708
NCT of Delhi,2007,114.4029726744777
NCT of Delhi,2008,114.90983584995185
NCT of Delhi,2009,107.51584759880515
NCT of Delhi,2010,132.0403658491454
NCT of Delhi,2011,85.27697767715108
NCT of Delhi,2012,107.46877112755409
NCT of Delhi,2013,74.96432871408594
NCT of Delhi,2014,77.03901092391209
NCT of Delhi,2015,152.77666414701022
NCT of Delhi,2016,167.12798078027788
NCT of Delhi,2017,119.79790659080264
NCT of Delhi,2018,84.52120868113246
NCT of Delhi,2019,97.13405370928044
NCT of Delhi,2020,72.64463164040406
