region,year,P_ant,P_nat,PR,FAR,PR_boot_5,PR_boot_95,significant,n_boot_failed
Central_India,1978,0.11833333333333333,0.1,1.1833333333333333,0.15492957746478875,0.8614439946018894,1.6111678004535148,False,0
Central_India,1979,0.11333333333333333,0.1,1.1333333333333333,0.11764705882352944,0.8285008818342151,1.5384615384615383,False,0
Central_India,1980,0.11166666666666666,0.10333333333333333,1.0806451612903225,0.07462686567164178,0.7746478873239436,1.4792467948717947,False,0
Central_India,1981,0.105,0.10166666666666667,1.0327868852459017,0.031746031746031744,0.7312626058894716,1.4548181818181816,False,0
Central_India,1982,0.10333333333333333,0.10666666666666667,0.9687499999999999,-0.032258064516129226,0.6969038208168642,1.3550967741935482,False,0
Central_India,1983,0.10166666666666667,0.105,0.9682539682539684,-0.032786885245901454,0.6764308426073131,1.3673469387755102,False,0
Central_India,1984,0.09666666666666666,0.10333333333333333,0.9354838709677419,-0.06896551724137945,0.6428571428571428,1.2941176470588234,False,0
Central_India,1985,0.09333333333333334,0.10333333333333333,0.903225806451613,-0.10714285714285698,0.6574444194924769,1.240037037037037,False,0
Central_India,1986,0.08833333333333333,0.09666666666666666,0.9137931034482759,-0.09433962264150941,0.6664215686274509,1.265677179962894,False,0
Central_India,1987,0.09,0.09333333333333334,0.9642857142857142,-0.0370370370370372,0.6864493322859387,1.3802307692307692,False,0
Central_India,1988,0.09333333333333334,0.09333333333333334,1.0,0.0,0.7166441441441441,1.3914759725400458,False,0
Central_India,1989,0.1,0.09333333333333334,1.0714285714285714,0.06666666666666665,0.8142380952380952,1.4680851063829787,False,0
Central_India,1990,0.1,0.09833333333333333,1.016949152542373,0.01666666666666683,0.7498333333333334,1.354458333333333,False,0
Central_India,1991,0.10333333333333333,0.09833333333333333,1.0508474576271187,0.048387096774193616,0.7691750278706799,1.4468085106382977,False,0
Central_India,1992,0.10833333333333334,0.095,1.1403508771929824,0.12307692307692308,0.8253968253968255,1.5556623931623932,False,0
Central_India,1993,0.11333333333333333,0.09166666666666666,1.2363636363636363,0.19117647058823528,0.9076410256410256,1.6603333333333332,False,0
Central_India,1994,0.115,0.09333333333333334,1.2321428571428572,0.18840579710144933,0.9682539682539684,1.5670041417395297,False,0
Central_India,1995,0.11166666666666666,0.09,1.2407407407407407,0.19402985074626866,0.9564897698209718,1.5909554730983302,False,0
Central_India,1996,0.10666666666666667,0.085,1.2549019607843137,0.203125,0.9992857142857143,1.6363636363636362,False,0
Central_India,1997,0.11666666666666667,0.085,1.3725490196078431,0.27142857142857146,1.102023521272916,1.7381469979296065,True,0
Central_India,1998,0.11833333333333333,0.09333333333333334,1.2678571428571428,0.21126760563380276,1.0158606150793652,1.6307312252964425,True,0
Central_India,1999,0.12166666666666667,0.09333333333333334,1.3035714285714286,0.23287671232876717,1.0441176470588236,1.6222222222222225,True,0
Central_India,2000,0.12,0.09333333333333334,1.2857142857142856,0.2222222222222221,1.0151292335115865,1.645833333333333,True,0
Central_India,2001,0.12333333333333334,0.095,1.2982456140350878,0.22972972972972971,1.0483870967741935,1.625,True,0
Central_India,2002,0.12166666666666667,0.09166666666666666,1.3272727272727274,0.24657534246575352,1.0610931174089069,1.6812529550827415,True,0
Central_India,2003,0.12666666666666668,0.09333333333333334,1.3571428571428572,0.26315789473684215,1.0724120082815733,1.6875694444444445,True,0
Central_India,2004,0.12833333333333333,0.10166666666666667,1.262295081967213,0.20779220779220775,1.0172267679719462,1.5800909090909088,True,0
Central_India,2005,0.13,0.10166666666666667,1.278688524590164,0.21794871794871795,1.0133333333333334,1.5854680696661825,True,0
Indo_Gangetic_Plain,1860,0.085,0.065,1.3076923076923077,0.23529411764705888,0.8084697217675941,2.0607007575757574,False,0
