region,year,regional_total_cr,deflator_index,regional_total_cr_real_2022
Central_India,2017,334.99,80.4703743512893,416.289849153203
Central_India,2018,343.4,83.5960370388638,410.78502302729174
Central_India,2019,468.07,85.6069540558026,546.7663289303462
Central_India,2020,1541.56,89.7288072623215,1718.0212765932138
Indo_Gangetic_Plain,1981,754.16,6.88862716034943,10947.89981291054
Indo_Gangetic_Plain,1982,883.03,7.44632098471959,11858.607785133676
Indo_Gangetic_Plain,1983,1109.36,8.08319436421132,13724.277185659888
Indo_Gangetic_Plain,1984,1001.15,8.72364467527372,11476.281270804822
Indo_Gangetic_Plain,1985,2754.63,9.35120495613869,29457.48716791515
Indo_Gangetic_Plain,1986,1214.58,9.98609570765228,12162.711389490041
Indo_Gangetic_Plain,1987,1989.03,10.9175880607911,18218.584443053922
Indo_Gangetic_Plain,1988,2689.71,11.8163801753813,22762.554691696914
Indo_Gangetic_Plain,1989,17.5,12.8133055864533,136.57677858320687
Indo_Gangetic_Plain,1990,725.54,14.1802679594129,5116.546472017721
Indo_Gangetic_Plain,1991,355.16,16.1303127348422,2201.817198700918
Indo_Gangetic_Plain,1992,549.35,17.5764198477346,3125.4942972405443
Indo_Gangetic_Plain,1993,2257.16,19.3097682064243,11689.213334259754
Indo_Gangetic_Plain,1994,718.5,21.2368917187623,3383.2634714863757
Indo_Gangetic_Plain,1995,2431.41,23.1615279764214,10497.623483542158
Indo_Gangetic_Plain,1996,840.78,24.9160179568326,3374.4557475302227
Indo_Gangetic_Plain,1997,114.48,26.5296468670007,431.51724021776437
Indo_Gangetic_Plain,1998,2960.6000000000004,28.6547160249704,10331.981644557438
Indo_Gangetic_Plain,1999,2605.24,29.5339560481166,8821.168406140896
Indo_Gangetic_Plain,2000,5954.05,30.6104599330265,19451.030833992812
Indo_Gangetic_Plain,2001,4023.0,31.594774786071,12733.118141337713
Indo_Gangetic_Plain,2002,1655.35,32.768736707346,5051.6137218952
Indo_Gangetic_Plain,2003,1812.48,34.0361652784497,5325.159239215434
Indo_Gangetic_Plain,2004,2401.01,35.9848763872227,6672.275247421822
Indo_Gangetic_Plain,2005,1040.18,38.0079113271814,2736.746018600907
Indo_Gangetic_Plain,2006,168.68,41.2009324749758,409.40820963809773
Indo_Gangetic_Plain,2007,2401.96,44.062097550747,5451.306527642325
Indo_Gangetic_Plain,2008,1325.66,48.113153416174,2755.296433250119
Indo_Gangetic_Plain,2009,150.35,51.5004952392024,291.9389402017884
Indo_Gangetic_Plain,2010,407.01,56.9214532589359,715.0379631885187
Indo_Gangetic_Plain,2011,2496.57,61.8927332933406,4033.704551659574
Indo_Gangetic_Plain,2012,809.1600000000001,66.8035425735272,1211.2531294420496
Indo_Gangetic_Plain,2013,1309.22,70.9363464075585,1845.6264895262468
Indo_Gangetic_Plain,2014,368.74,73.2997730356476,503.05749217077664
Indo_Gangetic_Plain,2015,26017.73,74.9707059453487,34703.861557561046
Indo_Gangetic_Plain,2016,1176.65,77.3982386243201,1520.254234351882
Indo_Gangetic_Plain,2017,18072.64,80.4703743512893,22458.74975193332
Indo_Gangetic_Plain,2018,820.54,83.5960370388638,981.5537064496621
Indo_Gangetic_Plain,2019,2080.06,85.6069540558026,2429.7792427518443
Indo_Gangetic_Plain,2020,1413.15,89.7288072623215,1574.9122752391734
Northeast,1981,7.4,6.88862716034943,107.42343616147502
Northeast,1982,25.54,7.44632098471959,342.9881689549778
Northeast,1983,80.02,8.08319436421132,989.9551636948369
Northeast,1984,79.28999999999999,8.72364467527372,908.9090965011379
Northeast,1985,76.92,9.35120495613869,822.567790576605
Northeast,1986,206.43,9.98609570765228,2067.17425952381
Northeast,1987,349.33000000000004,10.9175880607911,3199.6994029713114
Northeast,1988,741.75,11.8163801753813,6277.303107980483
Northeast,1989,310.14,12.8133055864533,2420.45269198833
Northeast,1990,74.54,14.1802679594129,525.66002429115
Northeast,1991,194.85,16.1303127348422,1207.9740994674905
Northeast,1992,30.7,17.5764198477346,174.66583221131282
Northeast,1993,223.74,19.3097682064243,1158.68817071332
Northeast,1994,8.75,21.2368917187623,41.20188639597187
Northeast,1995,0.0,23.1615279764214,0.0
Northeast,1996,195.02,24.9160179568326,782.7093411871643
Northeast,1997,36.36,26.5296468670007,137.0542178050132
Northeast,1998,613.43,28.6547160249704,2140.7645410460273
Northeast,1999,88.33,29.5339560481166,299.0794726452939
Northeast,2000,255.32,30.6104599330265,834.0939683971488
Northeast,2001,42.77,31.594774786071,135.37048543500222
Northeast,2002,778.74,32.768736707346,2376.472449807393
Northeast,2003,6377.15,34.0361652784497,18736.39391461572
Northeast,2004,784.4,35.9848763872227,2179.8046255857644
Northeast,2005,549.01,38.0079113271814,1444.4624311869907
