year,scenario,gmt_mean_c,gmt_p10_c,gmt_p90_c
2005,Hist-NAT,13.47546497452083,13.368854513593636,13.612407035955442
2006,Hist-NAT,13.466661787896374,13.268614701303921,13.623811243821262
2007,Hist-NAT,13.468346945453758,13.318169439039718,13.59535315615235
2008,Hist-NAT,13.454303046148567,13.282590787516654,13.580621826145563
2009,Hist-NAT,13.465128058588189,13.298212235371597,13.578198689762894
2010,Hist-NAT,13.504008588770308,13.374099560672391,13.636879020382981
2011,Hist-NAT,13.484052519552677,13.362819403480819,13.631655997645543
2012,Hist-NAT,13.464283345544134,13.307488708518889,13.560932277607673
2013,Hist-NAT,13.463123610128765,13.36524043750784,13.577507482852274
2014,Hist-NAT,13.506330432901695,13.406191086802385,13.646839571373203
1850,Hist-ALL,13.557873579530105,13.369070512362516,13.689910474748189
1851,Hist-ALL,13.5527713175877,13.377860214563082,13.73565373007267
1852,Hist-ALL,13.50245625935844,13.385450844388838,13.639153518136373
1853,Hist-ALL,13.521319323581562,13.407261787798467,13.666412171986286
1854,Hist-ALL,13.494978413487894,13.376812674361918,13.661384736977931
1855,Hist-ALL,13.534792416616222,13.408485915605496,13.692433516457026
1856,Hist-ALL,13.519166385445038,13.417460197824505,13.646633751887748
1857,Hist-ALL,13.538298959841699,13.37083088328588,13.652892645539357
1858,Hist-ALL,13.533766825862587,13.39708411324952,13.711316376473912
1859,Hist-ALL,13.540712454825549,13.416088235291607,13.668622031923508
1860,Hist-ALL,13.51044088244893,13.387885149797029,13.627272560980765
1861,Hist-ALL,13.484519319649529,13.3382921280576,13.647738545367105
1862,Hist-ALL,13.404297885137504,13.289265593067773,13.53757917499957
1863,Hist-ALL,13.424304878708853,13.29958905683298,13.535656017545898
1864,Hist-ALL,13.477271196291074,13.309798505045176,13.61182054009684
1865,Hist-ALL,13.523434219678341,13.407793948062869,13.671400288681564
1866,Hist-ALL,13.518513321314197,13.400979746079235,13.669119831634509
1867,Hist-ALL,13.497309164566493,13.37284441196565,13.609706721559263
1868,Hist-ALL,13.503512080906047,13.344948079227015,13.626698141602436
1869,Hist-ALL,13.502362575645378,13.338653109216619,13.68601614078447
1870,Hist-ALL,13.514314755244072,13.37696963860975,13.688193857784075
1871,Hist-ALL,13.530376861109573,13.42827445910017,13.62925924732312
1872,Hist-ALL,13.555087921539407,13.408328487072248,13.690100464136208
1873,Hist-ALL,13.526437843324969,13.35153232834146,13.670514496829469
1874,Hist-ALL,13.511770200990297,13.36122509424511,13.667830547342902
1875,Hist-ALL,13.512830376469266,13.380644571258415,13.631901994823897
1876,Hist-ALL,13.522341808850362,13.381429001816514,13.68250728479324
1877,Hist-ALL,13.530277940262943,13.451993587973556,13.667411161032812
1878,Hist-ALL,13.507596247665694,13.400398804783048,13.679616673533332
1879,Hist-ALL,13.5317879627005,13.377345644323452,13.7323225469475
1880,Hist-ALL,13.499670671967692,13.353812764217873,13.646056916857987
1881,Hist-ALL,13.534440489385302,13.42001556330327,13.668116907932733
1882,Hist-ALL,13.557138014697962,13.440358215683005,13.67553914927941
1883,Hist-ALL,13.515660374966833,13.344676678857628,13.660843288251055
1884,Hist-ALL,13.215893614833611,13.112104357665572,13.328662720632162
1885,Hist-ALL,13.311276918096786,13.177663567286668,13.438021518108922
1886,Hist-ALL,13.390385364101858,13.262375659778774,13.508028961358018
1887,Hist-ALL,13.43587470016111,13.316581871791517,13.539002326010978
1888,Hist-ALL,13.481315849636825,13.355974612377889,13.626036667483225
1889,Hist-ALL,13.511540957236829,13.349718239101861,13.660298108638903
1890,Hist-ALL,13.503735980210838,13.338732907729451,13.611815488005515
1891,Hist-ALL,13.4594878352923,13.317790121140423,13.613334845437965
1892,Hist-ALL,13.511018279155309,13.400270611251482,13.63048682722884
1893,Hist-ALL,13.526211443685307,13.373644052850171,13.676444176774321
1894,Hist-ALL,13.500904617302153,13.36042015071792,13.685491508317961
1895,Hist-ALL,13.568202630143102,13.407622820882562,13.719470646499047
1896,Hist-ALL,13.574362674485164,13.452756816508543,13.694325087438227
1897,Hist-ALL,13.582146017968386,13.420585774791608,13.731353838606537
1898,Hist-ALL,13.588144237438975,13.485446093670998,13.76629792672323
1899,Hist-ALL,13.578945730449673,13.441925030285205,13.715066298093252
1900,Hist-ALL,13.575463578610584,13.429123108306765,13.700927527801849
1901,Hist-ALL,13.58337041109283,13.485111554785874,13.705403540527374
1902,Hist-ALL,13.561604722742471,13.376022729942548,13.69285742612239
1903,Hist-ALL,13.431679775811961,13.273480650983192,13.55087712693683
1904,Hist-ALL,13.46979998197714,13.307859622573778,13.622718620211703
1905,Hist-ALL,13.518432834432016,13.32559653192638,13.658821864355184
1906,Hist-ALL,13.53303473930848,13.403460120967036,13.684534011836178
1907,Hist-ALL,13.512454750197291,13.347640870756294,13.650334356132372
1908,Hist-ALL,13.569353136768795,13.46114770456212,13.697492874826372
1909,Hist-ALL,13.575883567775524,13.43115336260738,13.715207042088457
1910,Hist-ALL,13.588262107413975,13.426759019537638,13.703584366612187
1911,Hist-ALL,13.58619460838533,13.418964648811022,13.71112133908763
1912,Hist-ALL,13.507767382150629,13.394542490981433,13.630542731986946
1913,Hist-ALL,13.507226728710217,13.395538399333322,13.680788264389452
1914,Hist-ALL,13.55892882126159,13.39770949574086,13.744326114992225
1915,Hist-ALL,13.568300811881944,13.480766119387857,13.672783564602042
1916,Hist-ALL,13.58560764405681,13.493057657202934,13.714768353549431
1917,Hist-ALL,13.62698837377857,13.503407366466382,13.767307725944022
1918,Hist-ALL,13.636980974781308,13.495270344088414,13.759500063447422
1919,Hist-ALL,13.645176187280933,13.504689509917267,13.810513565041703
1920,Hist-ALL,13.66167644847966,13.524468991234404,13.794116828422966
1921,Hist-ALL,13.69080192847103,13.553682163465766,13.83583827332464
1922,Hist-ALL,13.67821216032675,13.54843565664466,13.792256026004235
1923,Hist-ALL,13.669630600986332,13.517658057819778,13.770944454005155
1924,Hist-ALL,13.692060782848774,13.532667666673632,13.827457978843176
1925,Hist-ALL,13.720868787340537,13.573706785952663,13.83851970436815
1926,Hist-ALL,13.730454725094175,13.583647955288148,13.86003953749534
1927,Hist-ALL,13.734079759430701,13.593791185173245,13.911573143724855
1928,Hist-ALL,13.71396615697436,13.56857052330148,13.868847539698441
1929,Hist-ALL,13.721829515632244,13.620529869376544,13.853033483715688
1930,Hist-ALL,13.75425900670997,13.589690758784547,13.903666708490556
1931,Hist-ALL,13.72614122851503,13.618450845044645,13.843545938826669
1932,Hist-ALL,13.709802374854865,13.616864127335617,13.820079953626584
1933,Hist-ALL,13.698825685125515,13.58719492241472,13.822656584161603
1934,Hist-ALL,13.708987037050077,13.547887935558077,13.863576083047104
1935,Hist-ALL,13.694119787761952,13.531776043270407,13.815639505079634
1936,Hist-ALL,13.720381208448607,13.598738539940644,13.845049828236558
1937,Hist-ALL,13.778055073189162,13.666637171702178,13.896869366926733
1938,Hist-ALL,13.804212888086994,13.707005053666126,13.938715318677641
1939,Hist-ALL,13.750794156968293,13.634936712580702,13.869436858414526
1940,Hist-ALL,13.740048462221576,13.611864398677625,13.846336659619414
1941,Hist-ALL,13.763731614763412,13.639911899925096,13.871710840646141
1942,Hist-ALL,13.77263929236424,13.65353108099742,13.887518707394577
1943,Hist-ALL,13.760549118065121,13.65108002404441,13.92017174669698
1944,Hist-ALL,13.74909496239551,13.554394506891986,13.895630190420263
1945,Hist-ALL,13.726327999823063,13.560392199569247,13.869991576786623
1946,Hist-ALL,13.742261825552045,13.55993654091838,13.882587047880332
1947,Hist-ALL,13.76121657209121,13.617731896906161,13.947706843742925
1948,Hist-ALL,13.803316008501525,13.677510676112172,13.937800116541286
1949,Hist-ALL,13.814386186247843,13.66941982784362,13.924666219672934
1950,Hist-ALL,13.811792878814227,13.666688949017077,13.96675844007163
1951,Hist-ALL,13.836701629542006,13.692747188153339,13.991160198391242
1952,Hist-ALL,13.809513167812634,13.669230327980381,13.944831203429391
1953,Hist-ALL,13.818815112744746,13.606096039961908,13.989323164932625
1954,Hist-ALL,13.836360167493462,13.649735664031756,13.955199800427021
1955,Hist-ALL,13.81321251013322,13.682879124035622,13.917957019300156
1956,Hist-ALL,13.800539490471769,13.60581867126001,13.9408822983888
1957,Hist-ALL,13.81693375907152,13.664915699772433,13.990855234042925
1958,Hist-ALL,13.823361275415126,13.698402996620127,13.970366602473074
1959,Hist-ALL,13.83245118301004,13.68832011738274,13.963109683826683
1960,Hist-ALL,13.864078615260139,13.741158013741643,13.995055444297208
1961,Hist-ALL,13.877744259308376,13.7097593428952,14.036139247277442
1962,Hist-ALL,13.83933022358291,13.699007775532834,14.058444868857515
1963,Hist-ALL,13.747821057355218,13.58650826530581,13.904308884954236
1964,Hist-ALL,13.663740449486124,13.463716862422359,13.822559303880542
1965,Hist-ALL,13.685332723405548,13.522029492349237,13.87435660633933
1966,Hist-ALL,13.739865164715468,13.56744594016871,13.862760831330922
1967,Hist-ALL,13.757867795321745,13.631905752647276,13.913666870222944
1968,Hist-ALL,13.785949020987593,13.631490997998537,13.960227540465416
1969,Hist-ALL,13.820613628435627,13.665702474705972,13.95676408207765
1970,Hist-ALL,13.831454897141525,13.677997984474548,14.00839717164215
1971,Hist-ALL,13.861048438685271,13.686006695328462,14.015912400646481
1972,Hist-ALL,13.8737266448522,13.72538583237457,14.06988132074947
1973,Hist-ALL,13.869325665150358,13.728582946766783,13.991030535058155
1974,Hist-ALL,13.898394385535935,13.778765993193991,14.02464775221669
1975,Hist-ALL,13.80545615983149,13.646102393431937,13.93629624014659
1976,Hist-ALL,13.826937938506811,13.671786130116669,14.017676098033837
1977,Hist-ALL,13.894642381657238,13.752534161433607,14.065883903146197
1978,Hist-ALL,13.972753971376925,13.816398081593974,14.089363487598945
1979,Hist-ALL,14.00245657441439,13.878354694010568,14.150802474172735
1980,Hist-ALL,13.981193013517125,13.818366813100482,14.096362595322944
1981,Hist-ALL,13.990912843107841,13.86196626444547,14.082378616556435
1982,Hist-ALL,13.997645420433964,13.834284816858196,14.123797341581986
1983,Hist-ALL,13.943329522866549,13.76136674012057,14.132801153131606
1984,Hist-ALL,13.982467848413744,13.809516178240381,14.150316991632177
1985,Hist-ALL,14.035992721709276,13.850607310839768,14.184913205351773
1986,Hist-ALL,14.047476348787349,13.923215355316978,14.18926246818964
1987,Hist-ALL,14.034882722276128,13.928376946893332,14.18031696465934
1988,Hist-ALL,14.09788099200793,13.914065021259438,14.304848367792578
1989,Hist-ALL,14.16907171110008,14.033636001630999,14.31478663393321
1990,Hist-ALL,14.189291032858856,14.054410532449946,14.362738052773285
1991,Hist-ALL,14.169288824705228,14.019649486700775,14.267593316010988
1992,Hist-ALL,13.93293254216074,13.776761471665287,14.133279633489668
1993,Hist-ALL,13.959872430716029,13.80037459217964,14.106974183755062
1994,Hist-ALL,14.027217260053416,13.898793441709136,14.145792537115824
1995,Hist-ALL,14.14395374723739,14.007580650652017,14.306284111873094
1996,Hist-ALL,14.229068932418013,14.094831811058105,14.356480604306494
1997,Hist-ALL,14.278268655786368,14.142325116934263,14.45699428762573
1998,Hist-ALL,14.28522488945307,14.158069671540323,14.447345866404515
1999,Hist-ALL,14.285013123836649,14.16275082637822,14.40691947316203
2000,Hist-ALL,14.327652930856342,14.217524725296931,14.427400047354064
2001,Hist-ALL,14.44233365712736,14.304529077613221,14.601140203761531
2002,Hist-ALL,14.455534422148903,14.313202081407184,14.646991952559073
2003,Hist-ALL,14.436617852341987,14.267520359667344,14.619451205049472
2004,Hist-ALL,14.412482061220446,14.28482103899708,14.584472005843924
2005,Hist-ALL,14.428509528312599,14.298695839920338,14.61223863604339
2006,Hist-ALL,14.443393571307576,14.332530884221523,14.586888480029677
